api/developer;badlogicgames;NathanSweet;Xoppa;badlogic;Mario Zechner;nathan.sweet;Justin Shapcott;Nathan Sweet;davebaol
com.google.gwt.storage.client;0;0;0;0;0;0;100;0;0
java.util.zip;48;14;7;0;18;38;20;5;0
java.lang;30;22;12;20;26;23;19;7;20
android.hardware;72;0;5;5;34;22;5;5;0
android.support.v4.app;0;0;0;0;0;0;0;0;0
java.applet;71;0;0;0;0;50;0;0;0
org.jbox2d.collision;0;0;0;0;0;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0;0;0;0;0;0
org.jbox2d.particle;0;0;0;0;0;0;0;0;0
org.omg;100;0;0;0;0;0;0;0;0
android.service;0;21;0;19;72;0;8;6;17
java.util.concurrent;38;6;3;15;13;17;16;3;9
android.content;51;3;1;7;30;25;5;7;21
java.util.prefs;50;0;0;0;0;38;0;0;0
com.sun.jna;100;0;0;0;0;0;0;0;0
de.matthiasmann.twl;17;4;0;0;0;86;0;0;0
org.lwjgl;42;18;7;15;15;55;9;5;9
org.onepf.oms;0;0;0;0;0;0;0;0;0
org.robovm.apple;0;0;24;30;33;0;0;24;0
org.robovm.objc;0;0;0;53;0;0;25;0;0
org.robovm.rt;0;0;0;28;11;0;9;0;0
tv.ouya.console.api;0;0;0;0;0;0;0;0;0
android.text;75;15;0;0;14;0;14;0;0
java.text;0;0;0;0;0;0;0;0;100
javax.imageio;50;26;7;6;19;45;2;18;0
android.graphics;78;0;0;0;10;28;0;0;12
android.view;54;5;3;10;40;23;10;7;24
android.widget;65;0;2;3;25;14;7;8;18
com.esotericsoftware.tablelayout;12;46;0;0;22;59;0;2;0
com.google.gwt.animation.client;0;0;0;0;0;0;0;0;0
com.google.gwt.canvas;73;0;0;0;26;0;34;0;17
com.google.gwt.event;74;0;0;0;33;0;24;0;0
java.awt;50;23;4;7;19;38;6;12;6
javax.swing;43;19;4;10;22;36;4;11;0
sun.awt;0;0;0;0;0;0;0;0;0
java.io;68;0;0;0;0;46;0;0;0
java.nio;81;0;0;0;0;41;0;0;0
javax.print.attribute;23;0;76;0;0;0;0;0;0
org.apache.commons.io;0;0;0;100;0;0;0;0;0
sun.nio.cs;0;0;0;0;0;0;0;0;0
com.google.gwt.logging.client;0;0;0;0;31;0;67;0;0
sun.rmi.runtime;0;0;0;0;0;0;0;0;0
java.math;0;60;0;0;10;47;0;0;0
android.media;79;5;0;0;15;31;5;11;4
android.opengl;54;9;4;24;37;21;0;0;29
aurelienribon;0;0;0;71;41;0;0;0;0
com.google.gwt.media.client;100;0;0;0;0;0;0;0;0
com.sun.gluegen.runtime;100;0;0;0;0;0;0;0;0
com.sun.opengl;94;0;0;0;0;21;0;0;0
javax.media.opengl;96;0;0;0;0;14;0;0;0
javax.microedition.khronos;72;6;2;11;18;39;0;0;18
javax.sound.sampled;74;0;0;0;0;54;0;0;0
javazoom.jl.decoder;38;0;0;0;0;95;0;0;0
android.app;52;1;2;5;32;20;10;9;11
android.os;55;1;0;8;35;17;15;5;17
android.util;60;5;0;13;36;25;0;4;34
com.google.gwt.typedarrays;0;0;16;0;0;0;58;0;0
java.util;70;0;1;0;1;41;1;0;0
com.google.gwt.regexp.shared;0;0;0;0;83;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0;0;0;0;0;0
japa.parser;100;0;0;0;0;0;0;0;0
java.util.regex;33;0;0;0;0;76;0;0;0
org.json;0;0;0;0;0;0;0;0;0
org.junit;0;0;0;0;0;0;0;0;0
android.net;0;0;0;0;40;0;0;0;40
android.provider;0;0;0;0;0;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0;0;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;0;0;0;0;22;0;62;0;0
com.google.gwt.core;43;0;11;7;51;0;26;4;2
com.google.gwt.http.client;0;0;0;26;49;0;68;34;0
com.google.gwt.i18n.client;0;0;0;0;0;0;0;0;100
com.google.gwt.user;59;0;7;10;48;0;24;8;9
com.google.gwt.xhr;63;0;0;0;25;0;0;0;0
com.jcraft;0;0;0;0;0;100;0;0;0
java.net;21;0;2;1;2;18;10;11;0
java.security;0;0;0;0;8;80;8;0;0
javax.crypto;33;0;0;0;0;0;0;0;0
org.apache.http;0;0;0;25;0;0;0;0;0
com.google.gwt.dom;67;0;0;3;29;0;35;0;10
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0;0;0;0;0;0
javax.xml;24;5;0;2;10;16;3;4;0
org.w3c.dom;0;0;0;9;9;0;10;24;0
org.xml.sax;10;0;0;0;0;20;0;10;0
